dataset;relative;absolute;naive_occurrences;deletion_occurrences;projection_occurrences;naive_size;deletion_size;projection_size;num;abs;perfect;reject_naive;reject_deletion;reject_projection;deletion_rate;projection_rate;naive_auc;deletion_auc;projection_auc
mushroom.bin;0.55;4469;6.81E+10;2212800;636952;186852;63342;169346;mushroom.num;4468;552504;0.999991893;0.750314534;0.132581419;0.338995569;0.906310877;0.049999676;0.035824942;0.005314848
mushroom.bin;0.5;4062;6.81E+10;8819520;994072;186852;76398;217270;mushroom.num;4062;785312;0.999988477;0.910957512;0.210004909;0.408869051;1.162791942;0.049999509;0.041531801;0.008564658
mushroom.bin;0.45000002;3656;6.81E+10;5.67E+07;1595128;186852;95754;317404;mushroom.num;3655;1458960;0.999978592;0.974276985;0.085364936;0.512459059;1.698692013;0.049999177;0.047130862;0.007384246
mushroom.bin;0.4;3250;6.81E+10;1.83E+08;3580720;186852;106174;420264;mushroom.num;3249;2260216;0.999966834;0.987680463;0.368781698;0.568225119;2.24918117;0.049998636;0.049048936;0.011353666
mushroom.bin;0.35;2844;6.81E+10;5.82E+08;7891080;186852;115718;525156;mushroom.num;2843;4157816;0.999938989;0.992852014;0.473099246;0.619302978;2.810545244;0.049997646;0.049513312;0.021047024
mushroom.bin;0.3;2438;6.81E+10;8.55E+08;1.66E+07;1.87E+05;1.26E+05;6.10E+05;mushroom.num;2437;8200184;0.999879673;0.990408108;0.505523778;0.674555263;3.262496521;0.049995467;0.049581503;0.024465576
mushroom.bin;0.25;2031;6.81E+10;2.59E+09;5.82E+07;1.87E+05;1.42E+05;7.84E+05;mushroom.num;2031;14413832;0.999788495;0.994438585;0.752249036;0.760056087;4.195994691;0.049991704;0.049621167;0.03144432
mushroom.bin;0.2;1625;6.81E+10;1.01E+10;1.75E+08;1.87E+05;1.57E+05;1.03E+06;mushroom.num;1624;98935384;0.99854825;0.990241857;0.436057856;0.837636204;5.499978593;0.049958419;0.049617011;0.029707672
mushroom.bin;0.15;1219;6.81E+10;1.62E+10;6.54E+08;1.87E+05;1.63E+05;1.24E+06;mushroom.num;1218;158362160;0.997676238;0.990234747;0.758012962;0.874285531;6.658430201;0.049905612;0.049511915;0.02985177
mushroom.bin;0.1;813;6.81E+10;2.78E+10;2.52E+09;1.87E+05;1.72E+05;1.47E+06;mushroom.num;812;578259152;0.991514788;0.979212768;0.770389182;0.918630788;7.881617537;0.049729776;0.049236188;0.038210054
mushroom.bin;0.05;407;6.81E+10;5.26E+10;1.36E+10;1.87E+05;1.81E+05;1.79E+06;mushroom.num;406;2111233380;0.969020356;0.959877634;0.84514929;0.968252949;9.602878214;0.073238887;0.072474201;0.061517194
page.bin;1;941;1927168;941;941;10351;0;0;page.num;941;941;0.999511719;0;0;0;0;0;0;0
page.bin;0.95;894;1927168;941;941;10351;0;0;page.num;893;941;0.999511719;0;0;0;0;0.049975586;0;0
page.bin;0.90000004;847;1927168;941;941;10351;0;0;page.num;846;941;0.999511719;0;0;0;0;0.049975586;0;0
